id,id_v2,level,metric,answer_type,status,reason,parser_answer,dataset_answer,match,score,detail
SYSTEM_HOSTNAME_TEXT_p1,system_hostname_text:980d4425bd,L1,system_hostname_text,text,MATCH,,p1,"""p1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf2,system_hostname_text:6e35c43dba,L1,system_hostname_text,text,MATCH,,leaf2,"""leaf2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf4,system_hostname_text:45a2dbebe1,L1,system_hostname_text,text,MATCH,,leaf4,"""leaf4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p2,system_hostname_text:f84ad4329a,L1,system_hostname_text,text,MATCH,,p2,"""p2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe2,system_hostname_text:3603999311,L1,system_hostname_text,text,MATCH,,pe2,"""pe2""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_pe1,system_hostname_text:4f36bb8808,L1,system_hostname_text,text,MATCH,,pe1,"""pe1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p4,system_hostname_text:8eb660897d,L1,system_hostname_text,text,MATCH,,p4,"""p4""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf1,system_hostname_text:f3e677391b,L1,system_hostname_text,text,MATCH,,leaf1,"""leaf1""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_leaf3,system_hostname_text:6a7c231d8b,L1,system_hostname_text,text,MATCH,,leaf3,"""leaf3""",True,1.0,exact
SYSTEM_HOSTNAME_TEXT_p3,system_hostname_text:40d255b5d8,L1,system_hostname_text,text,MATCH,,p3,"""p3""",True,1.0,exact
SYSTEM_VERSION_TEXT_p4,system_version_text:8eb660897d,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
SYSTEM_VERSION_TEXT_leaf1,system_version_text:f3e677391b,L1,system_version_text,text,MATCH,,15.7,"""15.7""",True,1.0,exact
